season,source_file,relative_path,league_code,rows,columns,date_min,date_max,invalid_dates,teams,duplicate_match_keys,missing_core_columns,missing_core_values,result_goal_mismatches,unexpected_results,filename_matches_div,sha256,schema_hash,coverage_HS,coverage_AS,coverage_HST,coverage_AST,coverage_HF,coverage_AF,coverage_HC,coverage_AC,coverage_HY,coverage_AY,coverage_HR,coverage_AR,incomplete_match_stats_rows,incomplete_match_stats_matches,avg_pre_columns_present,avg_pre_complete_rows,avg_pre_coverage,avg_pre_invalid_rows,avg_pre_median_overround,avg_pre_incomplete_matches,avg_close_columns_present,avg_close_complete_rows,avg_close_coverage,avg_close_invalid_rows,avg_close_median_overround,avg_close_incomplete_matches,b365_pre_columns_present,b365_pre_complete_rows,b365_pre_coverage,b365_pre_invalid_rows,b365_pre_median_overround,b365_pre_incomplete_matches,b365_close_columns_present,b365_close_complete_rows,b365_close_coverage,b365_close_invalid_rows,b365_close_median_overround,b365_close_incomplete_matches,max_close_columns_present,max_close_complete_rows,max_close_coverage,max_close_invalid_rows,max_close_median_overround,max_close_incomplete_matches
2019_20,D7.csv,Footbal_Data — kopia/raw/2019_20/D7.csv,D1,306,105,2019-08-16,2020-06-27,0,18,0,,0,0,0,False,0a032b1adc75f7fa018dcfeff7fcdcc0a89014e3fe69f44534f538b6f931aef5,ae758af3402f,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,306,1.0,0,0.04822638935786372,,True,306,1.0,0,0.04745575028923066,,True,306,1.0,0,0.05314132877643274,,True,306,1.0,0,0.05727024953031157,,True,306,1.0,0,-0.009392462504277221,
2019_20,E6.csv,Footbal_Data — kopia/raw/2019_20/E6.csv,E0,380,106,2019-08-09,2020-07-26,0,20,0,,0,0,0,False,100037618b94f94057400bb02bf6bac4ef74ddaa58cde4b38370839c39caee61,590f3cc0db5a,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,380,1.0,0,0.04269171867403476,,True,380,1.0,0,0.040677283427866806,,True,380,1.0,0,0.052409638554216986,,True,380,1.0,0,0.055030168204251884,,True,380,1.0,0,-0.007492686327083109,
2019_20,F7.csv,Footbal_Data — kopia/raw/2019_20/F7.csv,F1,279,105,2019-08-09,2020-03-08,0,20,0,,0,0,0,False,bda566f6aea24bc2f08cceac8f7d6c81d7f9c64cfda9fdae7eb9be2b84dddd2a,ae758af3402f,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,279,1.0,0,0.052259330145827176,,True,279,1.0,0,0.05114450310743046,,True,279,1.0,0,0.05179615705931484,,True,279,1.0,0,0.05693815987933637,,True,279,1.0,0,-0.005632483081728257,
2019_20,I7.csv,Footbal_Data — kopia/raw/2019_20/I7.csv,I1,380,105,2019-08-24,2020-08-02,0,20,0,,0,0,0,False,f33233e0c428ebe4f7cb854c4a504e0b59c4e009ee8b679269486e26afdc575b,ae758af3402f,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,380,1.0,0,0.0504492110770276,,True,380,1.0,0,0.04925235761030877,,True,380,1.0,0,0.05360934182590227,,True,380,1.0,0,0.05555555555555558,,True,380,1.0,0,-0.0056723471946954485,
2019_20,SP7.csv,Footbal_Data — kopia/raw/2019_20/SP7.csv,SP1,380,105,2019-08-16,2020-07-19,0,20,0,,0,0,0,False,a05d5d60eee0b1414c56d6d6817f860cdc620e206234069a1886c98a8cb318da,ae758af3402f,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,380,1.0,0,0.04836452885707487,,True,380,1.0,0,0.047556155836552705,,True,380,1.0,0,0.05303030303030298,,True,380,1.0,0,0.05394072095513536,,True,380,1.0,0,-0.006017088390360359,
2020_21,D6.csv,Footbal_Data — kopia/raw/2020_21/D6.csv,D1,306,105,2020-09-18,2021-05-22,0,18,0,,0,0,0,False,48ec5d53d2452b6ebdbc07bd78a836d6a4686f99fc020439ee3292e685315e61,ae758af3402f,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,306,1.0,0,0.04746862048333267,,True,306,1.0,0,0.04778027387637773,,True,306,1.0,0,0.05483979621910651,,True,306,1.0,0,0.05713175713175733,,True,306,1.0,0,-0.007425910631091659,
2020_21,E5.csv,Footbal_Data — kopia/raw/2020_21/E5.csv,E0,380,106,2020-09-12,2021-05-23,0,20,0,,0,0,0,False,5afe63f69401457b8354eaacee24f9a3e520b3c3af6329564a9783e20d789c62,590f3cc0db5a,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,380,1.0,0,0.04351365033298005,,True,380,1.0,0,0.04229071567898213,,True,380,1.0,0,0.05425824175824179,,True,380,1.0,0,0.05463971872640594,,True,380,1.0,0,-0.00921272018196384,
2020_21,F6.csv,Footbal_Data — kopia/raw/2020_21/F6.csv,F1,380,105,2020-08-21,2021-05-23,0,20,0,,0,0,0,False,124560ab39a1c256eb6ee5ad2dd1eed250c9780d0cbb34525d9abee41fbf7f70,ae758af3402f,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,380,1.0,0,0.05136454448054362,,True,380,1.0,0,0.05160017706707343,,True,378,0.9947368421052631,0,0.05555555555555558,13/09/2020: Paris SG vs Marseille|18/10/2020: Monaco vs Montpellier,True,379,0.9973684210526316,0,0.05769230769230771,18/10/2020: Monaco vs Montpellier,True,380,1.0,0,-0.005469818140811822,
2020_21,I6.csv,Footbal_Data — kopia/raw/2020_21/I6.csv,I1,380,105,2020-09-19,2021-05-23,0,20,0,,0,0,0,False,c09196fa18877547442807d375317299947abdd6d51a5e0df044cc6026e13f36,ae758af3402f,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,380,1.0,0,0.04808881037200763,,True,380,1.0,0,0.04795835703187268,,True,378,0.9947368421052631,0,0.05685385669984189,18/10/2020: Udinese vs Parma|19/10/2020: Verona vs Genoa,True,380,1.0,0,0.056845005847554475,,True,380,1.0,0,-0.008485090376474713,
2020_21,SP6.csv,Footbal_Data — kopia/raw/2020_21/SP6.csv,SP1,380,105,2020-09-12,2021-05-23,0,20,0,,0,0,0,False,b4137db923101f464e8403c4973acbfaf7d71724ce93b4336fad580e894d9591,ae758af3402f,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,380,1.0,0,0.04752722204007542,,True,380,1.0,0,0.047399351788375066,,True,380,1.0,0,0.05591397849462365,,True,380,1.0,0,0.05699529228941003,,True,380,1.0,0,-0.00891342291829017,
2021_22,D5.csv,Footbal_Data — kopia/raw/2021_22/D5.csv,D1,306,105,2021-08-13,2022-05-14,0,18,0,,0,0,0,False,034d0e1296e944dddf25e3c91b85ef5bd1ad25661b89d73878f5c73bfea4b9fc,ae758af3402f,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,306,1.0,0,0.04347374206522048,,True,306,1.0,0,0.042815939126088276,,True,306,1.0,0,0.05299417988332411,,True,306,1.0,0,0.055583727743971134,,True,306,1.0,0,-0.012990734136538451,
2021_22,E4.csv,Footbal_Data — kopia/raw/2021_22/E4.csv,E0,380,106,2021-08-13,2022-05-22,0,20,0,,0,0,0,False,335afcbabeb2939fa10ab39ba3e8215072d0b577cb8d0705c1e44c56e934e703,590f3cc0db5a,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,380,1.0,0,0.040595603837504046,,True,380,1.0,0,0.03861786885177465,,True,380,1.0,0,0.053745908759520455,,True,380,1.0,0,0.05555555555555558,,True,380,1.0,0,-0.015132905999868662,
2021_22,F5.csv,Footbal_Data — kopia/raw/2021_22/F5.csv,F1,380,105,2021-08-06,2022-05-21,0,20,0,,0,0,0,False,9e9eaefb8704264f8d55a718a119d940de4af7d7b4217ac4097b957406e16213,ae758af3402f,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,380,1.0,0,0.047545367948799155,,True,380,1.0,0,0.04647728239318116,,True,380,1.0,0,0.05325219009505322,,True,380,1.0,0,0.056064189925952856,,True,380,1.0,0,-0.008858283015072077,
2021_22,I5.csv,Footbal_Data — kopia/raw/2021_22/I5.csv,I1,380,105,2021-08-21,2022-05-22,0,20,0,,0,0,0,False,6a9555d5a90e652a883fd2862a52545c06e264016cd770347c067a6d7c993170,ae758af3402f,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,379,0.9973684210526316,0,0.04467492634892434,10/01/2022: Torino vs Fiorentina,True,380,1.0,0,0.044107918277248026,,True,379,0.9973684210526316,0,0.05455002513826046,10/01/2022: Torino vs Fiorentina,True,380,1.0,0,0.05641355641355639,,True,380,1.0,0,-0.013640550327841339,
2021_22,SP5.csv,Footbal_Data — kopia/raw/2021_22/SP5.csv,SP1,380,105,2021-08-13,2022-05-22,0,20,0,,0,0,0,False,2d9e619700712823d15716c07715133f8c3b1a09046930dcfc785a38633dee2e,ae758af3402f,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,380,1.0,0,0.044414178570029716,,True,380,1.0,0,0.043251306139603596,,True,380,1.0,0,0.05386086781435617,,True,380,1.0,0,0.056445850698002786,,True,380,1.0,0,-0.015285962541894071,
2022_23,D4.csv,Footbal_Data — kopia/raw/2022_23/D4.csv,D1,306,105,2022-08-05,2023-05-27,0,18,0,,0,0,0,False,b716517b25033ce8e0243e967aa961876425a4c41e97c8aa8fa59f2aca061341,ae758af3402f,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,306,1.0,0,0.042733739397751824,,True,306,1.0,0,0.04243211697298055,,True,306,1.0,0,0.05358103289019833,,True,306,1.0,0,0.05490291913441814,,True,306,1.0,0,-0.007920900128508435,
